student_id,subject_id,risk_label,risk_level
105,MA101,1,Medium
106,CS103,0,Low
106,EC101,1,Medium
107,CS101,0,Low
107,CS102,1,Medium
107,MA101,1,Medium
108,CS103,1,Medium
108,EC101,0,Low
109,CS101,1,Medium
109,CS102,1,Medium
109,MA101,0,Low
110,CS103,0,Low
110,EC101,0,Low
111,CS101,2,High
111,CS102,2,High
111,MA101,2,High
112,CS103,0,Low
112,EC101,0,Low
113,CS101,0,Low
113,CS102,0,Low
113,MA101,0,Low
114,CS103,0,Low
114,EC101,0,Low
115,CS101,1,Medium
115,CS102,1,Medium
115,MA101,1,Medium
116,CS103,1,Medium
116,EC101,1,Medium
117,CS101,2,High
117,CS102,2,High
117,MA101,1,Medium
118,CS103,0,Low
118,EC101,0,Low
119,CS101,1,Medium
119,CS102,1,Medium
119,MA101,1,Medium
120,CS103,0,Low
120,EC101,0,Low
121,CS101,0,Low
121,CS102,1,Medium
121,MA101,0,Low
122,CS103,1,Medium
122,EC101,1,Medium
123,CS101,0,Low
123,CS102,0,Low
123,MA101,0,Low
124,CS103,2,High
124,EC101,2,High
125,CS101,1,Medium
125,CS102,1,Medium
125,MA101,1,Medium
126,CS103,2,High
126,EC101,2,High
127,CS101,1,Medium
127,CS102,1,Medium
127,MA101,1,Medium
128,CS103,0,Low
128,EC101,0,Low
129,CS101,0,Low
129,CS102,0,Low
129,MA101,1,Medium
130,CS103,1,Medium
130,EC101,0,Low
131,CS101,0,Low
131,CS102,0,Low
131,MA101,0,Low
132,CS103,0,Low
132,EC101,0,Low
133,CS101,0,Low
133,CS102,0,Low
133,MA101,0,Low
134,CS103,0,Low
134,EC101,0,Low
135,CS101,0,Low
135,CS102,0,Low
135,MA101,1,Medium
136,CS103,0,Low
136,EC101,0,Low
137,CS101,0,Low
137,CS102,1,Medium
137,MA101,0,Low
138,CS103,2,High
138,EC101,2,High
139,CS101,0,Low
139,CS102,0,Low
139,MA101,0,Low
140,CS103,1,Medium
140,EC101,1,Medium
141,CS101,0,Low
141,CS102,0,Low
141,MA101,0,Low
142,CS103,0,Low
142,EC101,0,Low
143,CS101,2,High
143,CS102,2,High
143,MA101,2,High
144,CS103,1,Medium
144,EC101,1,Medium
145,CS101,1,Medium
145,CS102,1,Medium
145,MA101,1,Medium
146,CS103,0,Low
146,EC101,0,Low
147,CS101,0,Low
147,CS102,1,Medium
147,MA101,0,Low
148,CS103,0,Low
148,EC101,0,Low
149,CS101,0,Low
149,CS102,0,Low
149,MA101,0,Low
150,CS103,0,Low
150,EC101,0,Low
151,CS101,0,Low
151,CS102,0,Low
151,MA101,0,Low
152,CS103,2,High
152,EC101,2,High
153,CS101,0,Low
153,CS102,0,Low
153,MA101,1,Medium
154,CS103,1,Medium
154,EC101,1,Medium
155,CS101,1,Medium
155,CS102,0,Low
155,MA101,1,Medium
156,CS103,0,Low
156,EC101,0,Low
157,CS101,0,Low
157,CS102,0,Low
157,MA101,0,Low
158,CS103,1,Medium
158,EC101,0,Low
159,CS101,1,Medium
159,CS102,1,Medium
159,MA101,1,Medium
160,CS103,2,High
160,EC101,2,High
161,CS101,0,Low
161,CS102,0,Low
161,MA101,0,Low
162,CS103,0,Low
162,EC101,0,Low
163,CS101,0,Low
163,CS102,0,Low
163,MA101,0,Low
164,CS103,1,Medium
164,EC101,1,Medium
165,CS101,0,Low
165,CS102,0,Low
165,MA101,0,Low
166,CS103,0,Low
166,EC101,0,Low
167,CS101,1,Medium
167,CS102,1,Medium
167,MA101,0,Low
168,CS103,0,Low
168,EC101,0,Low
169,CS101,1,Medium
169,CS102,1,Medium
169,MA101,1,Medium
170,CS103,0,Low
170,EC101,0,Low
171,CS101,1,Medium
171,CS102,1,Medium
171,MA101,1,Medium
172,CS103,2,High
172,EC101,2,High
173,CS101,0,Low
173,CS102,0,Low
173,MA101,0,Low
174,CS103,0,Low
174,EC101,0,Low
175,CS101,1,Medium
175,CS102,0,Low
175,MA101,1,Medium
176,CS103,0,Low
176,EC101,0,Low
177,CS101,0,Low
177,CS102,0,Low
177,MA101,0,Low
178,CS103,1,Medium
178,EC101,0,Low
179,CS101,0,Low
179,CS102,0,Low
179,MA101,0,Low
180,CS103,0,Low
180,EC101,0,Low
181,CS101,0,Low
181,CS102,0,Low
181,MA101,0,Low
182,CS103,1,Medium
182,EC101,1,Medium
183,CS101,0,Low
183,CS102,0,Low
183,MA101,0,Low
184,CS103,0,Low
184,EC101,1,Medium
185,CS101,1,Medium
185,CS102,1,Medium
185,MA101,0,Low
186,CS103,0,Low
186,EC101,0,Low
187,CS101,0,Low
187,CS102,0,Low
187,MA101,0,Low
188,CS103,2,High
188,EC101,2,High
189,CS101,0,Low
189,CS102,0,Low
189,MA101,0,Low
190,CS103,0,Low
190,EC101,0,Low
191,CS101,0,Low
191,CS102,0,Low
191,MA101,0,Low
192,CS103,0,Low
192,EC101,0,Low
193,CS101,0,Low
193,CS102,1,Medium
193,MA101,1,Medium
194,CS103,0,Low
194,EC101,0,Low
195,CS101,2,High
195,CS102,2,High
195,MA101,2,High
196,CS103,1,Medium
196,EC101,1,Medium
197,CS101,2,High
197,CS102,2,High
197,MA101,2,High
198,CS103,0,Low
198,EC101,0,Low
199,CS101,0,Low
199,CS102,0,Low
199,MA101,1,Medium
200,CS103,0,Low
200,EC101,0,Low
201,CS101,0,Low
201,CS102,0,Low
201,MA101,0,Low
202,CS103,0,Low
202,EC101,1,Medium
203,CS101,0,Low
203,CS102,0,Low
203,MA101,0,Low
204,CS103,1,Medium
204,EC101,1,Medium
205,CS101,0,Low
205,CS102,1,Medium
205,MA101,1,Medium
206,CS103,1,Medium
206,EC101,1,Medium
207,CS101,1,Medium
207,CS102,0,Low
207,MA101,0,Low
208,CS103,0,Low
208,EC101,0,Low
209,CS101,2,High
209,CS102,2,High
209,MA101,2,High
210,CS103,0,Low
210,EC101,0,Low
211,CS101,0,Low
211,CS102,0,Low
211,MA101,0,Low
212,CS103,2,High
212,EC101,2,High
213,CS101,1,Medium
213,CS102,0,Low
213,MA101,1,Medium
214,CS103,2,High
214,EC101,2,High
215,CS101,0,Low
215,CS102,0,Low
215,MA101,0,Low
216,CS103,0,Low
216,EC101,1,Medium
217,CS101,0,Low
217,CS102,0,Low
217,MA101,0,Low
218,CS103,0,Low
218,EC101,0,Low
219,CS101,1,Medium
219,CS102,0,Low
219,MA101,0,Low
220,CS103,0,Low
220,EC101,0,Low
221,CS101,2,High
221,CS102,2,High
221,MA101,2,High
222,CS103,0,Low
222,EC101,0,Low
223,CS101,2,High
223,CS102,2,High
223,MA101,2,High
224,CS103,0,Low
224,EC101,0,Low
225,CS101,2,High
225,CS102,2,High
225,MA101,2,High
226,CS103,2,High
226,EC101,2,High
227,CS101,0,Low
227,CS102,0,Low
227,MA101,1,Medium
228,CS103,0,Low
228,EC101,0,Low
229,CS101,0,Low
229,CS102,0,Low
229,MA101,0,Low
230,CS103,0,Low
230,EC101,0,Low
231,CS101,0,Low
231,CS102,1,Medium
231,MA101,1,Medium
232,CS103,1,Medium
232,EC101,1,Medium
233,CS101,0,Low
233,CS102,1,Medium
233,MA101,0,Low
234,CS103,0,Low
234,EC101,0,Low
235,CS101,2,High
235,CS102,2,High
235,MA101,2,High
236,CS103,0,Low
236,EC101,0,Low
237,CS101,0,Low
237,CS102,0,Low
237,MA101,0,Low
238,CS103,2,High
238,EC101,2,High
239,CS101,0,Low
239,CS102,0,Low
239,MA101,0,Low
240,CS103,0,Low
240,EC101,0,Low
241,CS101,0,Low
241,CS102,0,Low
241,MA101,0,Low
242,CS103,0,Low
242,EC101,0,Low
243,CS101,2,High
243,CS102,2,High
243,MA101,2,High
244,CS103,1,Medium
244,EC101,1,Medium
245,CS101,0,Low
245,CS102,0,Low
245,MA101,0,Low
246,CS103,0,Low
246,EC101,0,Low
247,CS101,0,Low
247,CS102,0,Low
247,MA101,0,Low
248,CS103,0,Low
248,EC101,0,Low
249,CS101,0,Low
249,CS102,1,Medium
249,MA101,1,Medium
250,CS103,2,High
250,EC101,2,High
251,CS101,0,Low
251,CS102,1,Medium
251,MA101,1,Medium
252,CS103,2,High
252,EC101,2,High
253,CS101,0,Low
253,CS102,0,Low
253,MA101,1,Medium
254,CS103,2,High
254,EC101,2,High
255,CS101,1,Medium
255,CS102,0,Low
255,MA101,0,Low
256,CS103,0,Low
256,EC101,0,Low
257,CS101,2,High
257,CS102,2,High
257,MA101,2,High
258,CS103,2,High
258,EC101,2,High
259,CS101,0,Low
259,CS102,0,Low
259,MA101,0,Low
260,CS103,1,Medium
260,EC101,1,Medium
261,CS101,1,Medium
261,CS102,0,Low
261,MA101,0,Low
262,CS103,1,Medium
262,EC101,0,Low
263,CS101,0,Low
263,CS102,0,Low
263,MA101,0,Low
264,CS103,1,Medium
264,EC101,1,Medium
265,CS101,0,Low
265,CS102,0,Low
265,MA101,0,Low
266,CS103,0,Low
266,EC101,0,Low
267,CS101,0,Low
267,CS102,0,Low
267,MA101,0,Low
268,CS103,0,Low
268,EC101,0,Low
269,CS101,0,Low
269,CS102,0,Low
269,MA101,0,Low
270,CS103,1,Medium
270,EC101,0,Low
271,CS101,1,Medium
271,CS102,1,Medium
271,MA101,1,Medium
272,CS103,0,Low
272,EC101,0,Low
273,CS101,0,Low
273,CS102,0,Low
273,MA101,0,Low
274,CS103,0,Low
274,EC101,0,Low
275,CS101,0,Low
275,CS102,0,Low
275,MA101,0,Low
276,CS103,1,Medium
276,EC101,1,Medium
277,CS101,0,Low
277,CS102,1,Medium
277,MA101,0,Low
278,CS103,1,Medium
278,EC101,0,Low
279,CS101,2,High
279,CS102,2,High
279,MA101,2,High
280,CS103,2,High
280,EC101,2,High
281,CS101,0,Low
281,CS102,0,Low
281,MA101,0,Low
282,CS103,0,Low
282,EC101,1,Medium
283,CS101,0,Low
283,CS102,0,Low
283,MA101,1,Medium
284,CS103,0,Low
284,EC101,0,Low
285,CS101,1,Medium
285,CS102,1,Medium
285,MA101,0,Low
286,CS103,0,Low
286,EC101,1,Medium
287,CS101,0,Low
287,CS102,0,Low
287,MA101,0,Low
288,CS103,0,Low
288,EC101,1,Medium
289,CS101,0,Low
289,CS102,0,Low
289,MA101,1,Medium
290,CS103,0,Low
290,EC101,0,Low
291,CS101,1,Medium
291,CS102,1,Medium
291,MA101,1,Medium
292,CS103,2,High
292,EC101,2,High
293,CS101,1,Medium
293,CS102,1,Medium
293,MA101,1,Medium
294,CS103,0,Low
294,EC101,1,Medium
295,CS101,1,Medium
295,CS102,0,Low
295,MA101,1,Medium
296,CS103,0,Low
296,EC101,1,Medium
297,CS101,0,Low
297,CS102,1,Medium
297,MA101,0,Low
298,CS103,0,Low
298,EC101,0,Low
299,CS101,0,Low
299,CS102,0,Low
299,MA101,0,Low
300,CS103,0,Low
300,EC101,0,Low
301,CS101,0,Low
301,CS102,0,Low
301,MA101,1,Medium
302,CS103,0,Low
302,EC101,0,Low
303,CS101,0,Low
303,CS102,0,Low
303,MA101,0,Low
304,CS103,1,Medium
304,EC101,1,Medium
305,CS101,0,Low
305,CS102,1,Medium
305,MA101,1,Medium
306,CS103,1,Medium
306,EC101,0,Low
307,CS101,2,High
307,CS102,2,High
307,MA101,2,High
308,CS103,0,Low
308,EC101,0,Low
309,CS101,1,Medium
309,CS102,1,Medium
309,MA101,1,Medium
310,CS103,0,Low
310,EC101,0,Low
311,CS101,0,Low
311,CS102,1,Medium
311,MA101,1,Medium
312,CS103,2,High
312,EC101,1,Medium
313,CS101,0,Low
313,CS102,0,Low
313,MA101,0,Low
314,CS103,0,Low
314,EC101,0,Low
315,CS101,0,Low
315,CS102,0,Low
315,MA101,0,Low
316,CS103,1,Medium
316,EC101,0,Low
317,CS101,0,Low
317,CS102,0,Low
317,MA101,0,Low
318,CS103,0,Low
318,EC101,0,Low
319,CS101,0,Low
319,CS102,0,Low
319,MA101,0,Low
320,CS103,0,Low
320,EC101,0,Low
321,CS101,0,Low
321,CS102,0,Low
321,MA101,0,Low
322,CS103,1,Medium
322,EC101,1,Medium
323,CS101,0,Low
323,CS102,1,Medium
323,MA101,0,Low
324,CS103,2,High
324,EC101,2,High
325,CS101,1,Medium
325,CS102,0,Low
325,MA101,1,Medium
326,CS103,1,Medium
326,EC101,1,Medium
327,CS101,0,Low
327,CS102,1,Medium
327,MA101,1,Medium
328,CS103,0,Low
328,EC101,0,Low
329,CS101,0,Low
329,CS102,0,Low
329,MA101,0,Low
330,CS103,0,Low
330,EC101,0,Low
331,CS101,0,Low
331,CS102,1,Medium
331,MA101,1,Medium
332,CS103,2,High
332,EC101,2,High
333,CS101,1,Medium
333,CS102,1,Medium
333,MA101,1,Medium
334,CS103,0,Low
334,EC101,0,Low
335,CS101,1,Medium
335,CS102,1,Medium
335,MA101,1,Medium
336,CS103,0,Low
336,EC101,0,Low
337,CS101,2,High
337,CS102,2,High
337,MA101,2,High
338,CS103,2,High
338,EC101,2,High
339,CS101,0,Low
339,CS102,1,Medium
339,MA101,0,Low
340,CS103,0,Low
340,EC101,0,Low
341,CS101,0,Low
341,CS102,1,Medium
341,MA101,1,Medium
342,CS103,0,Low
342,EC101,0,Low
343,CS101,2,High
343,CS102,2,High
343,MA101,2,High
344,CS103,0,Low
344,EC101,0,Low
345,CS101,0,Low
345,CS102,0,Low
345,MA101,0,Low
346,CS103,0,Low
346,EC101,1,Medium
347,CS101,2,High
347,CS102,2,High
347,MA101,2,High
348,CS103,0,Low
348,EC101,0,Low
349,CS101,0,Low
349,CS102,0,Low
349,MA101,0,Low
350,CS103,0,Low
350,EC101,0,Low
351,CS101,0,Low
351,CS102,0,Low
351,MA101,0,Low
352,CS103,0,Low
352,EC101,0,Low
353,CS101,0,Low
353,CS102,0,Low
353,MA101,0,Low
354,CS103,2,High
354,EC101,2,High
355,CS101,0,Low
355,CS102,1,Medium
355,MA101,1,Medium
356,CS103,2,High
356,EC101,2,High
357,CS101,0,Low
357,CS102,0,Low
357,MA101,0,Low
358,CS103,2,High
358,EC101,2,High
359,CS101,0,Low
359,CS102,0,Low
359,MA101,0,Low
360,CS103,0,Low
360,EC101,1,Medium
361,CS101,0,Low
361,CS102,0,Low
361,MA101,0,Low
362,CS103,2,High
362,EC101,2,High
363,CS101,0,Low
363,CS102,0,Low
363,MA101,0,Low
364,CS103,0,Low
364,EC101,1,Medium
365,CS101,0,Low
365,CS102,0,Low
365,MA101,0,Low
366,CS103,0,Low
366,EC101,0,Low
367,CS101,1,Medium
367,CS102,1,Medium
367,MA101,1,Medium
368,CS103,2,High
368,EC101,2,High
369,CS101,1,Medium
369,CS102,1,Medium
369,MA101,1,Medium
370,CS103,0,Low
370,EC101,0,Low
371,CS101,1,Medium
371,CS102,1,Medium
371,MA101,1,Medium
372,CS103,0,Low
372,EC101,0,Low
373,CS101,0,Low
373,CS102,1,Medium
373,MA101,1,Medium
374,CS103,0,Low
374,EC101,0,Low
375,CS101,1,Medium
375,CS102,1,Medium
375,MA101,1,Medium
376,CS103,1,Medium
376,EC101,1,Medium
377,CS101,0,Low
377,CS102,0,Low
377,MA101,0,Low
378,CS103,1,Medium
378,EC101,1,Medium
379,CS101,0,Low
379,CS102,0,Low
379,MA101,0,Low
380,CS103,0,Low
380,EC101,0,Low
381,CS101,2,High
381,CS102,2,High
381,MA101,2,High
382,CS103,0,Low
382,EC101,1,Medium
383,CS101,0,Low
383,CS102,0,Low
383,MA101,0,Low
384,CS103,0,Low
384,EC101,0,Low
385,CS101,2,High
385,CS102,2,High
385,MA101,2,High
386,CS103,0,Low
386,EC101,0,Low
387,CS101,0,Low
387,CS102,0,Low
387,MA101,1,Medium
388,CS103,0,Low
388,EC101,1,Medium
389,CS101,0,Low
389,CS102,0,Low
389,MA101,0,Low
390,CS103,0,Low
390,EC101,0,Low
391,CS101,1,Medium
391,CS102,1,Medium
391,MA101,1,Medium
392,CS103,0,Low
392,EC101,0,Low
393,CS101,2,High
393,CS102,2,High
393,MA101,2,High
394,CS103,0,Low
394,EC101,0,Low
395,CS101,1,Medium
395,CS102,2,High
395,MA101,2,High
396,CS103,0,Low
396,EC101,0,Low
397,CS101,0,Low
397,CS102,1,Medium
397,MA101,0,Low
398,CS103,0,Low
398,EC101,0,Low
399,CS101,0,Low
399,CS102,1,Medium
399,MA101,0,Low
400,CS103,0,Low
400,EC101,0,Low
